"id" "lat" "lon" "nrm" "nse" "fut1_0.9" "fut1_0.8" "fut1_0.5" "fut1_0.2" "fut1_0.1" "fut1_0.05" "fut1_0.02" "fut2_0.9" "fut2_0.8" "fut2_0.5" "fut2_0.2" "fut2_0.1" "fut2_0.05" "fut2_0.02"
"003303A" -24.43 145.46 5 -0.33672930956383 -8.79752956008991 0.441054939425175 1.55353047438867 10.0474307611053 12.8875425378333 19.3407190320949 26.6913759025347 -9.97912506712579 -6.64110429896976 7.25865602958615 9.91922708559763 6.44360703827483 5.29686159975236 4.24449191199668
"105101A" -15.2812 144.8387 8 0.447235572864624 0.607916405369245 8.78830304837951 7.01322107843999 15.932942549421 20.8081424128759 18.8677452459607 13.3427402988641 -1.38251904941831 7.73859831437033 10.2918154633277 6.88909555622406 10.804635172408 16.8333644433625 20.6867856910207
"105105A" -15.771166 145.01375 8 0.623941048364181 2.41343244954519 10.9904646423226 14.202652203715 17.8566168617883 19.7079002951033 19.3246628097491 14.2296661723241 -5.56612399895047 2.96265072545419 12.1612896846477 9.78706429641562 12.6942231538852 17.0608379632033 22.8432473464886
"108002A" -16.17875 145.281861 8 0.671561311894366 6.43929211634362 11.5822302375015 12.8888026337637 17.4523864256065 14.8767581289021 11.4940952916484 6.42565034389154 -0.93929557634523 6.05869035624395 9.45321847590857 11.0882973649866 14.0312450309155 14.7184743596874 9.35042485816581
"111005A" -17.1832 145.7248 8 0.761347427988933 -8.68990642274357 -3.57585424879751 0.80236342426312 7.21487567459237 10.9068227009157 14.38114931833 13.7242809835646 -18.5739284041658 -11.9284189350986 -4.99732065917147 6.3010001631081 9.18873440133111 14.3815930249362 18.0942655038937
"111007A" -17.13 145.76 8 0.573773144071499 -8.9558716338714 -3.80955758717506 0.846039115152095 7.60946407441446 11.2943233743325 14.6018628217366 13.9031179887958 -18.9477042620671 -12.4205299712261 -5.26926170894833 6.62285205967688 9.24111620487685 14.5028909070586 19.0320673777357
"112002A" -17.564487 145.908013 8 0.45265457576775 -5.22577552200298 -3.042729960962 6.83929861748437 7.71233245326579 10.0473129511529 11.7304317253925 7.52525219635308 -16.6523089783209 -9.60280250400437 -3.36863532563619 3.64572211837741 8.27666050293727 13.1805534335556 18.5401610159371
"112101B" -17.6089 145.9791 8 0.781278202889119 -7.78029046526851 -1.6432571290392 5.06635230274554 7.4212612041477 11.4012407250632 13.3808358327028 15.2481377164052 -15.2705760241524 -8.88930051597639 -3.68144899448646 5.26220484347425 8.48311727436067 12.78473576961 17.2190017370005
"112102A" -17.71520831 145.9052083 8 0.771799645353153 -5.79262548857218 -2.69187800967917 6.39430975420848 8.94553444085569 12.4728467424935 13.0458386851956 10.9359875098394 -15.1585363773317 -8.21578596248729 -3.22162919701855 4.28602696608665 9.3354702505998 14.6781739929471 22.7137740866271
"113004A" -17.73961111 145.62875 8 0.70332746751106 -8.79592545695792 -2.05320476123317 3.99254835319497 6.92850890122017 11.956248577107 11.1516425727777 16.3373118050008 -15.0869254853511 -8.4710155520803 -2.22576759532428 5.76654094613369 9.54233034759466 11.3878342635804 7.85847883599832
"114001A" -18.1069 145.8054 8 0.496649213415485 -8.92243947471934 -4.80037742021429 3.42003382688452 12.7909251810067 15.388828925662 18.7253323551688 22.6847110443573 -20.9849630442244 -10.131892613202 -2.59569020553633 10.1596929853513 14.3261233101137 17.2788832145785 17.1039698928523
"116006B" -18.49125 145.922213 8 0.717970368506333 -9.94625311540075 2.15491275523262 19.818565870105 29.9831104614139 31.2034013776102 28.5299230764591 31.7674612143131 -15.1371139538063 -6.25234156561421 3.17947430051846 12.3742700134079 12.7464367538246 13.4849957067935 20.4722277009056
"116010A" -18.2044 145.5369 8 0.5793466588775 -10.0714563049375 -2.86236761923394 7.53491586897575 15.386993323413 18.5208268048955 19.3484632583409 24.6956559862649 -19.795109241696 -9.26063014141454 -1.05678785700458 14.7454322772964 18.0309778256254 13.4942014215864 17.1359111124237
