"id" "lat" "lon" "nrm" "nse" "fut1_0.9" "fut1_0.8" "fut1_0.5" "fut1_0.2" "fut1_0.1" "fut1_0.05" "fut1_0.02" "fut2_0.9" "fut2_0.8" "fut2_0.5" "fut2_0.2" "fut2_0.1" "fut2_0.05" "fut2_0.02"
"003303A" -24.43 145.46 5 -0.33672930956383 -63.2239212096086 -16.7515409308955 7.11961547592063 30.7642705534467 32.2172179139348 27.6846114804814 21.8457305353373 -66.985229992158 -31.1624393702879 9.13718714492087 3.20209513117129 -2.13267067825456 -5.10553903694057 -9.61996839117221
"105101A" -15.2812 144.8387 8 0.447235572864624 -37.8560737532154 2.0072413537002 30.6531682024442 37.3409133972118 36.5488378611276 32.1028272966574 25.3717310440588 -73.2076857847747 -19.3380184333943 -0.815359716685101 0.86830972739297 0.118591414044755 -5.88105893221704 0.234737303117245
"105105A" -15.771166 145.01375 8 0.623941048364181 -12.8363532800833 14.4994427449097 22.2225457440148 29.6699426524089 34.5739349137811 25.5396533940286 22.2817355620818 -36.6421313366399 -7.47935635533775 1.46430443508185 0.121455757615255 3.07081149342594 1.18547642789395 10.1047059484222
"108002A" -16.17875 145.281861 8 0.671561311894366 -14.0518813501874 13.8664085116931 24.8732175624826 26.0761367341023 22.443450863865 13.7338494669316 6.93633382028461 -41.1670771644397 -10.525940293875 2.5117697856484 5.62947383432206 5.69450129511462 5.0479182101196 8.12174931634256
"111005A" -17.1832 145.7248 8 0.761347427988933 -21.9946878394646 13.5898714288309 14.9806370940167 13.6913931923338 17.1524197229353 20.9436334701844 19.222750517471 -64.8925718714163 -21.2914247211476 1.31539221857815 9.10853419471377 3.95312781054644 4.98854308368952 15.6950335134117
"111007A" -17.13 145.76 8 0.573773144071499 -3.45527054011418 10.7127039512839 16.0510428273619 13.6963164700282 18.1501991815826 18.7608722770253 23.1187765546164 -45.0940031114434 -23.0414338017458 -8.53737195069151 6.40888699735892 10.2886669516399 16.6926174449971 33.825624048656
"112002A" -17.564487 145.908013 8 0.45265457576775 0.46356297590409 8.68806850123568 19.6864171526962 14.0290271979126 18.0277379039456 22.6283341949663 21.2305666192226 -25.0675219216738 -13.1243313009801 -2.96617685214232 8.51083220809885 12.0557196621134 19.4639815226365 35.353312628811
"112101B" -17.6089 145.9791 8 0.781278202889119 -18.4331546995743 14.275056102859 14.9822687564064 12.6934273296869 16.2544211703671 18.1799778077041 18.9481143919257 -57.5555246132425 -24.3881302808614 -2.1698851766822 9.77780486485285 7.33686703441369 9.70371386666756 22.0317825516176
"112102A" -17.71520831 145.9052083 8 0.771799645353153 -11.6214321184104 15.4567870223777 15.1583580481186 12.4282820820483 14.9373824596853 13.5280488613363 14.2670768470607 -42.0030221960962 -20.58572741356 -1.53010513617665 6.51636458862927 4.78662579064734 5.49276728209223 17.1279556745553
"113004A" -17.73961111 145.62875 8 0.70332746751106 -16.6823609588923 2.83226418438175 13.1531915861618 17.0494727780494 22.9783429821804 27.7895974030937 40.4110503987432 -50.4379745519765 -29.3631017853561 -7.69908947810857 11.5255748363125 11.3082663008679 18.6712530368377 31.3305959826264
